,ship_id,ship_time,ship_lat,ship_lon,ship_depth,ship_temp,turtle_id,turtle_time,turtle_lat,turtle_lon,turtle_depth,turtle_temp,FVCOM_temp,ROMS_temp
0,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 10:14:36,38.62945938,-73.72276306,"3,23,27,29,30,31,32,34,35,36,37,52","23.235,22.9358,22.7863,22.4996,22.1007,21.278,19.5578,14.8211,13.3503,11.5428,10.957,10.77","22.263178, 18.18709, 16.721193, 16.38269, 16.064062, 15.770077, 15.770077, 15.271334, 15.071179, 15.071179, 14.904427, 14.55685","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
1,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 20:09:39,38.6196785,-73.68264008,"3,18,23,25,26,28,29,30,31,32,33,47","22.93,22.5772,21.8842,20.6998,19.3642,14.9668,13.1398,11.6026,11.0104,10.5694,10.519,10.33","22.610804, 19.142363, 17.642014, 16.939466, 16.939466, 16.277824, 15.967851, 15.967851, 15.6757965, 15.401728, 15.148736, 14.030957","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
2,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-14 14:36:08,38.62236023,-73.75639343,"3,14,25,28,29,30,32,33,35,37,39,50","22.5683,22.71,22.1434,21.1281,20.5261,19.5108,18.8143,18.2123,14.234,11.6369,11.2237,10.905","22.046406, 21.204872, 18.346407, 17.572943, 17.207186, 16.859192, 16.533371, 16.233908, 15.719011, 15.502426, 15.146168, 14.829682","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
3,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-14 14:49:04,38.62295151,-73.75708008,"3,25,28,30,31,32,33,36,37,39,42,53","22.885,22.6011,22.4591,22.0924,21.7138,20.9804,19.8684,15.2665,14.2018,12.9951,11.6938,11.055","22.046406, 18.346407, 17.572943, 16.859192, 16.533371, 16.533371, 16.233908, 15.719011, 15.502426, 15.146168, 14.932577, 14.824192","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
4,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-14 17:14:44,38.63312912,-73.75007629,"3,21,24,25,26,27,28,29,33,35,41,51","23.02,22.5848,22.1616,21.7868,20.9284,19.2721,17.1322,16.1408,13.6261,12.1995,11.1597,10.93","22.17409, 19.506481, 18.720974, 18.321297, 17.92858, 17.547043, 17.547043, 17.179571, 16.194696, 15.656228, 14.887154, 14.728336","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
5,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-14 17:14:44,38.63312912,-73.75007629,"3,24,26,27,28,30,32,33,35,38,41,51","23.23,22.3052,21.6271,20.9489,19.5926,16.2142,14.3771,13.8469,13.403,12.059,11.4302,10.9","22.17409, 18.720974, 17.92858, 17.547043, 17.547043, 16.829514, 16.500597, 16.194696, 15.656228, 15.198461, 14.887154, 14.728336","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
6,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-15 22:00:32,38.63784027,-73.66442871,"3,20,25,26,30,31,32,33,34,35,38,53","23.145,22.7322,22.2291,21.8292,19.3911,18.0753,15.8049,12.6186,11.406,10.9416,10.4901,10.245","22.517923, 19.009638, 17.59499, 17.59499, 16.540384, 16.189415, 15.840295, 15.494739, 15.494739, 15.157554, 14.553491, 13.635235","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
7,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 10:01:27,38.62894058,-73.72619629,"3,21,26,28,29,30,31,32,34,35,40,53","23.245,22.9478,22.3657,21.3006,20.1735,18.0928,15.5168,13.5723,11.7269,11.2439,10.9962,10.86","22.263178, 18.563955, 17.074759, 16.721193, 16.38269, 16.064062, 15.770077, 15.770077, 15.271334, 15.071179, 14.668782, 14.55685","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
8,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 22:12:35,38.63663101,-73.70990753,"3,18,21,23,24,25,26,27,28,29,34,49","22.945,22.5447,22.2069,21.7565,21.1185,19.8926,17.3906,13.8627,11.7486,10.7227,10.4725,10.435","22.384068, 19.29935, 18.64837, 18.322632, 18.000164, 17.68342, 17.375349, 17.07896, 17.07896, 16.797192, 15.873826, 15.229061","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
9,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 11:09:04,38.62955093,-73.71408081,"3,22,27,28,29,30,31,32,33,35,37,52","23.02,22.7217,22.1872,21.7894,20.9193,19.3532,17.1655,15.5993,13.7472,11.0251,10.59,10.59","22.235035, 18.191006, 16.744026, 16.744026, 16.411425, 16.098932, 15.810639, 15.810639, 15.550155, 15.121941, 14.957689, 14.607452","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
